title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
High pressure liquid chromotography system for steroid hormones,No summary - Aucun sommaire,123351-1992,1992,1991-1992,"Steel, Colin",York University,Biology,Ontario,32015.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Animal Physiology (H),Endocrinology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100534,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100534
No title - Aucun titre,No summary - Aucun sommaire,119691-1991,1991,1991-1992,"Steel, Tracy",University of Waterloo,Geography,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Remote sensing,Not available,No Co-Researcher,No Partners,100535,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100535
"Ecology of marine intertidal and shallow-water animals, particularly amphipods",No summary - Aucun sommaire,1732-1989,1989,1991-1992,"Steele, Donald",Memorial University of Newfoundland,Biology,Newfoundland and Labrador,12500.0,3-3,Discovery Grants Program - Individual,Evolution & Ecology,Terrestrial ecology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100536,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100536
Metabolic and developmental regulatory mechanisms in insects,No summary - Aucun sommaire,2396-1990,1990,1991-1992,"Steele, John",The University of Western Ontario,Zoology,Ontario,22660.0,2-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100537,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100537
No title - Aucun titre,No summary - Aucun sommaire,119455-1991,1991,1991-1992,"Steele, Lisa",Memorial University of Newfoundland,Physics,Newfoundland and Labrador,3409.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Particle physics,Not available,No Co-Researcher,No Partners,100538,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100538
No title - Aucun titre,No summary - Aucun sommaire,109044-1991,1991,1991-1992,"Steele, Landon",University of Waterloo,Chemical Engineering,Ontario,9977.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Mining and mineral processing,Not available,No Co-Researcher,No Partners,100539,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100539
Lie theory and its combinatorics,No summary - Aucun sommaire,9343-1996,1996,1996-1997,"Pianzola, Arturo",University of Alberta,Mathematical Sciences,Alberta,16000.0,1-5,Discovery Grants Program - Individual,Pure & Applied Maths - A,Algebra,Mathematical sciences,No Co-Researcher,No Partners,10054,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10054
QCD condensates: Non-perturbative effects in Quantum Chromodynamics,No summary - Aucun sommaire,105741-1991,1991,1991-1992,"Steele, Thomas",The University of Western Ontario,Physics,Ontario,10000.0,1-2,Discovery Grants Program - Individual,Subatomic Physics,Particle physics,Physical sciences,No Co-Researcher,No Partners,100540,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100540
Comparative study of the structure and function of the organ of Bellonci and the cutaneous sensory receptors in marine Crustacea,No summary - Aucun sommaire,1993-1989,1989,1991-1992,"Steele, Julie",Memorial University of Newfoundland,Biology,Newfoundland and Labrador,8000.0,3-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100541,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100541
Digital array processors,No summary - Aucun sommaire,8572-1991,1991,1991-1992,"Steenaart, Willem",University of Ottawa,Electrical Engineering,Ontario,19500.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Circuit theory,Not available,No Co-Researcher,No Partners,100542,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100542
"Molecular photochemistry, photophysics and spectroscopy",No summary - Aucun sommaire,5983-1991,1991,1991-1992,"Steer, Ronald",University of Saskatchewan,Chemistry,Saskatchewan,66000.0,1-3,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Photochemistry and photophysics,Physical sciences,No Co-Researcher,No Partners,100543,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100543
Neural control of avian locomotion,No summary - Aucun sommaire,7160-1990,1990,1991-1992,"Steeves, John",The University of British Columbia,Zoology,British Columbia,34660.0,2-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100544,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100544
Dioxin effects on the developing avian nervous system,No summary - Aucun sommaire,104894-1990,1990,1991-1992,"Steeves, John",The University of British Columbia,Zoology,British Columbia,12000.0,2-2,Industrially Oriented Research Grants,University/Industry,Cell biology,"Pollutants and toxic agents (waste, use 902)",No Co-Researcher,Canfor CorporationFletcher Challenge Canada Ltd.MacMillan Bloedel Ltd,100545,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100545
Vascular differentiation in ferns and angiosperms,No summary - Aucun sommaire,1994-1989,1989,1991-1992,"Steeves, Taylor",University of Saskatchewan,Biology,Saskatchewan,15580.0,3-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100546,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100546
No title - Aucun titre,No summary - Aucun sommaire,96322-1990,1990,1991-1992,"Stefanyshyn, Darren",University of Calgary,Mechanical Engineering,Alberta,4962.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Biomedical technology,Not available,No Co-Researcher,No Partners,100547,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100547
Modeling of river flow and erosion,No summary - Aucun sommaire,5923-1991,1991,1991-1992,"Steffler, Peter",University of Alberta,Civil Engineering,Alberta,23000.0,1-3,Discovery Grants Program - Individual,Civil Engineering,Hydraulic engineering,Water,No Co-Researcher,No Partners,100548,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100548
No title - Aucun titre,No summary - Aucun sommaire,99883-1990,1990,1991-1992,"Stefurak, Glenn",The University of British Columbia,Mechanical Engineering,British Columbia,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Mechanical engineering,Not available,No Co-Researcher,No Partners,100549,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100549
Evaluation et renforcement des ponts / comportement des charpentes d'acier,No summary - Aucun sommaire,8414-1996,1996,1996-1997,"Picard, André",Université Laval,Génie civil,Québec,37000.0,1-4,Discovery Grants Program - Individual,Civil Engineering,Steel structures,Materials performance,No Co-Researcher,No Partners,10055,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10055
No title - Aucun titre,No summary - Aucun sommaire,93741-1990,1990,1991-1992,"Stegemann, Jan",University of Toronto,Chemical Engineering,Ontario,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Biomedical technology,Not available,No Co-Researcher,No Partners,100550,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100550
No title - Aucun titre,No summary - Aucun sommaire,108356-1991,1991,1991-1992,"Stegemann, Jan",University of Toronto,Chemical Engineering,Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Biomedical technology,Not available,No Co-Researcher,No Partners,100551,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100551
Pure tension and compression fields in anisotropic nonlinear elasticity,No summary - Aucun sommaire,41743-1989,1989,1991-1992,"Steigmann, David",University of Alberta,Mechanical Engineering,Alberta,20756.0,3-3,Discovery Grants Program - Individual,Mechanical Engineering,Solid mechanics,Engineering,No Co-Researcher,No Partners,100552,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100552
No title - Aucun titre,No summary - Aucun sommaire,110404-1991,1991,1991-1992,"Stein, Andreas",Bayer AG,Zentrale Forschung (Research Centre,Outside Canada,29000.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Inorganic chemistry,Not available,No Co-Researcher,No Partners,100553,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100553
Snowmelt infiltration processes in a balsam fir forested watershed,No summary - Aucun sommaire,1459-1990,1990,1991-1992,"Stein, Jean",Université Laval,Sciences forestières,Québec,6037.0,2-3,Discovery Grants Program - Individual,Environmental Earth Sciences,Hydrology,"Oceans, seas and estuaries",No Co-Researcher,No Partners,100554,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100554
Snowmelt infiltration processes in a balsam fir forested watershed,No summary - Aucun sommaire,131293-1990,1990,1991-1992,"Stein, Jean",Institut national de la recherche scientifique,INRS - Eau,Québec,5463.0,2-3,Discovery Grants Program - Individual,Environmental Earth Sciences,Hydrology,"Oceans, seas and estuaries",No Co-Researcher,No Partners,100555,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100555
Digital image processing,No summary - Aucun sommaire,5278-1989,1989,1991-1992,"Stein, Richard",University of Calgary,Electrical & Computing Engineering,Alberta,10000.0,3-3,Discovery Grants Program - Individual,Electrical Engineering (H),Electrical and electronic engineering,Engineering,No Co-Researcher,No Partners,100556,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100556
Human oculomotor control,No summary - Aucun sommaire,7664-1990,1990,1991-1992,"Steinbach, Martin",York University,Psychology,Ontario,37820.0,2-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Psychology,Psychology,No Co-Researcher,No Partners,100557,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100557
No title - Aucun titre,No summary - Aucun sommaire,120418-1991,1991,1991-1992,"Steinbachs, Jennifer",Wilfrid Laurier University,Biology,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Aquatic ecology and limnology,Not available,No Co-Researcher,No Partners,100558,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100558
Batching and scheduling,No summary - Aucun sommaire,1798-1989,1989,1991-1992,"Steiner, George",McMaster University,Management Sci. & Information Sys.,Ontario,14500.0,3-3,Discovery Grants Program - Individual,Industrial Engineering,Logistics,Production and operations management,No Co-Researcher,No Partners,100559,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100559
No title - Aucun titre,No summary - Aucun sommaire,162435-1994,1994,1996-1997,"Picard, Frédéric",Université Laval,Chimie,Québec,5822.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biophysics,Not available,No Co-Researcher,No Partners,10056,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10056
Process strategies for reducing density and improving dimensional stability of wood composites,No summary - Aucun sommaire,45368-1989,1989,1991-1992,"Steiner, Paul",The University of British Columbia,Harvesting & Wood Science,British Columbia,73600.0,3-3,Strategic Projects - Group,Ind.Materials & Processes (H),"Materials structure, properties and testing","Wood, wood products and paper","Barrett, JDavid",No Partners,100560,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100560
Improving wood composite bonding at reduced mat compaction levels,No summary - Aucun sommaire,46620-1990,1990,1991-1992,"Steiner, Paul",The University of British Columbia,Harvesting & Wood Science,British Columbia,18000.0,2-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,"Materials structure, properties and testing","Wood, wood products and paper",No Co-Researcher,No Partners,100561,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100561
Experimental studies in solid state physics,No summary - Aucun sommaire,9777-1990,1990,1991-1992,"Steinitz, Michael",St. Francis Xavier University,Physics,Nova Scotia,25000.0,2-3,Discovery Grants Program - Individual,Condensed Matter Physics,Condensed matterphysics,Physical sciences,No Co-Researcher,No Partners,100562,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100562
No title - Aucun titre,No summary - Aucun sommaire,113734-1991,1991,1991-1992,"Steinke, Willi",Queen's University,Psychology,Ontario,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Sensory systems and perception,Not available,No Co-Researcher,No Partners,100563,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100563
No title - Aucun titre,No summary - Aucun sommaire,90984-1990,1990,1991-1992,"Steinman, David",University of Toronto,Mechanical Engineering,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Mechanical engineering,Not available,No Co-Researcher,No Partners,100564,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100564
Organosulfur chemistry,No summary - Aucun sommaire,1128-1991,1991,1991-1992,"Steliou, Kosta",Université de Montréal,Chimie,Québec,18000.0,1-1,Discovery Grants Program - Individual,Inorganic & Organic Chemistry,Not available,Not available,No Co-Researcher,No Partners,100565,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100565
"Structure, function, and neuropeptide chemistry of the nervus terminalis",No summary - Aucun sommaire,131-1989,1989,1991-1992,"Stell, William",University of Calgary,Anatomy,Alberta,32000.0,3-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,"Forestry (silviculture, forest management)",No Co-Researcher,No Partners,100566,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100566
Attention: effects on temporal and spatial processes,No summary - Aucun sommaire,40220-1991,1991,1991-1992,"Stelmach, Lew",Carleton University,Psychology,Ontario,15000.0,1-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Sensory systems -- visual,Psychology,No Co-Researcher,No Partners,100567,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100567
No title - Aucun titre,No summary - Aucun sommaire,120282-1991,1991,1991-1992,"Stelmaschuk, Marianne",University of Saskatchewan,Biology,Saskatchewan,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Endocrinology,Not available,No Co-Researcher,No Partners,100568,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100568
No title - Aucun titre,No summary - Aucun sommaire,91075-1990,1990,1991-1992,"SteMarie, Diane",McMaster University,Psychology,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Psychology,Not available,No Co-Researcher,No Partners,100569,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100569
